model,curve,x,y
Logistic Regression (unweighted),ROC,0.27850877192982454,0.7386363636363636
Logistic Regression (unweighted),ROC,0.27850877192982454,0.75
Logistic Regression (unweighted),ROC,0.27960526315789475,0.75
Logistic Regression (unweighted),ROC,0.27960526315789475,0.7613636363636364
Logistic Regression (unweighted),ROC,0.3168859649122807,0.7613636363636364
Logistic Regression (unweighted),ROC,0.3168859649122807,0.7727272727272727
Logistic Regression (unweighted),ROC,0.33881578947368424,0.7727272727272727
Logistic Regression (unweighted),ROC,0.33881578947368424,0.7840909090909091
Logistic Regression (unweighted),ROC,0.34978070175438597,0.7840909090909091
Logistic Regression (unweighted),ROC,0.34978070175438597,0.7954545454545454
Logistic Regression (unweighted),ROC,0.3519736842105263,0.7954545454545454
Logistic Regression (unweighted),ROC,0.3519736842105263,0.8068181818181818
Logistic Regression (unweighted),ROC,0.3541666666666667,0.8068181818181818
Logistic Regression (unweighted),ROC,0.3541666666666667,0.8181818181818182
Logistic Regression (unweighted),ROC,0.36293859649122806,0.8181818181818182
Logistic Regression (unweighted),ROC,0.36293859649122806,0.8295454545454546
Logistic Regression (unweighted),ROC,0.3673245614035088,0.8295454545454546
Logistic Regression (unweighted),ROC,0.3673245614035088,0.8522727272727273
Logistic Regression (unweighted),ROC,0.3706140350877193,0.8522727272727273
Logistic Regression (unweighted),ROC,0.3706140350877193,0.8636363636363636
Logistic Regression (unweighted),ROC,0.3815789473684211,0.8636363636363636
Logistic Regression (unweighted),ROC,0.3815789473684211,0.875
Logistic Regression (unweighted),ROC,0.3980263157894737,0.875
Logistic Regression (unweighted),ROC,0.3980263157894737,0.8863636363636364
Logistic Regression (unweighted),ROC,0.3991228070175439,0.8863636363636364
Logistic Regression (unweighted),ROC,0.3991228070175439,0.8977272727272727
Logistic Regression (unweighted),ROC,0.4243421052631579,0.8977272727272727
Logistic Regression (unweighted),ROC,0.4243421052631579,0.9090909090909091
Logistic Regression (unweighted),ROC,0.46600877192982454,0.9090909090909091
Logistic Regression (unweighted),ROC,0.46600877192982454,0.9204545454545454
Logistic Regression (unweighted),ROC,0.5054824561403509,0.9204545454545454
Logistic Regression (unweighted),ROC,0.5054824561403509,0.9318181818181818
Logistic Regression (unweighted),ROC,0.5537280701754386,0.9318181818181818
Logistic Regression (unweighted),ROC,0.5537280701754386,0.9431818181818182
Logistic Regression (unweighted),ROC,0.743421052631579,0.9431818181818182
Logistic Regression (unweighted),ROC,0.743421052631579,0.9545454545454546
Logistic Regression (unweighted),ROC,0.8388157894736842,0.9545454545454546
Logistic Regression (unweighted),ROC,0.8388157894736842,0.9659090909090909
Logistic Regression (unweighted),ROC,0.8421052631578947,0.9659090909090909
Logistic Regression (unweighted),ROC,0.8421052631578947,0.9772727272727273
Logistic Regression (unweighted),ROC,0.9462719298245614,0.9772727272727273
Logistic Regression (unweighted),ROC,0.9462719298245614,0.9886363636363636
Logistic Regression (unweighted),ROC,0.981359649122807,0.9886363636363636
Logistic Regression (unweighted),ROC,0.981359649122807,1.0
Logistic Regression (unweighted),ROC,1.0,1.0
Logistic Regression (unweighted),PR,1.0,0.088
Logistic Regression (unweighted),PR,1.0,0.08808808808808809
Logistic Regression (unweighted),PR,1.0,0.08817635270541083
Logistic Regression (unweighted),PR,1.0,0.08826479438314945
Logistic Regression (unweighted),PR,1.0,0.08835341365461848
Logistic Regression (unweighted),PR,1.0,0.08844221105527639
Logistic Regression (unweighted),PR,1.0,0.08853118712273642
Logistic Regression (unweighted),PR,1.0,0.08862034239677745
Logistic Regression (unweighted),PR,1.0,0.08870967741935484
Logistic Regression (unweighted),PR,1.0,0.08879919273461151
Logistic Regression (unweighted),PR,1.0,0.08888888888888889
Logistic Regression (unweighted),PR,1.0,0.08897876643073811
Logistic Regression (unweighted),PR,1.0,0.08906882591093117
Logistic Regression (unweighted),PR,1.0,0.08915906788247213
Logistic Regression (unweighted),PR,1.0,0.08924949290060852
Logistic Regression (unweighted),PR,1.0,0.08934010152284264
Logistic Regression (unweighted),PR,1.0,0.08943089430894309
Logistic Regression (unweighted),PR,1.0,0.08952187182095625
Logistic Regression (unweighted),PR,0.9886363636363636,0.08859470468431772
Logistic Regression (unweighted),PR,0.9886363636363636,0.08868501529051988
Logistic Regression (unweighted),PR,0.9886363636363636,0.08877551020408163
Logistic Regression (unweighted),PR,0.9886363636363636,0.0888661899897855
Logistic Regression (unweighted),PR,0.9886363636363636,0.08895705521472393
Logistic Regression (unweighted),PR,0.9886363636363636,0.08904810644831115
Logistic Regression (unweighted),PR,0.9886363636363636,0.08913934426229508
Logistic Regression (unweighted),PR,0.9886363636363636,0.08923076923076922
Logistic Regression (unweighted),PR,0.9886363636363636,0.08932238193018481
Logistic Regression (unweighted),PR,0.9886363636363636,0.08941418293936279
Logistic Regression (unweighted),PR,0.9886363636363636,0.08950617283950617
Logistic Regression (unweighted),PR,0.9886363636363636,0.08959835221421215
Logistic Regression (unweighted),PR,0.9886363636363636,0.08969072164948454
